Section,Level,Question,Option A,Option B,Option C,Option D,Correct Answer
Data Structures & Algorithms,senior,"In data structures and algorithms, workload: 10M keys, need 'all keys between A and B' and occasional insert. Engineer proposes a hash map. What fails?",Hashes do not keep order — range scan becomes a full table scan; an ordered tree (or B-tree / LSM with keys in order) matches the scan,Hash maps cannot insert after construction,Trees cannot store 10M keys,A heap can range-scan in sorted order without extra cost,A
Data Structures & Algorithms,senior,"In data structures and algorithms, you implement LRU with a hash map plus singly linked list. Evict-the-tail is easy; a hit in the middle is not O(1). Missing piece?",You need a back pointer (doubly linked) or an explicit prev in the map so you can unlink in O(1),Singly linked lists are always O(1) to move a middle node,A Bloom filter of the tail replaces the list,BFS from the head on each hit is the standard LRU,A
Data Structures & Algorithms,senior,"In data structures and algorithms, you must sort 1e8 records that are already almost sorted by timestamp, and equal timestamps must not reorder events. Which concern dominates?",Stability (and preferably an algorithm that is fast on nearly-ordered input) — a random-swap unstable sort both scrambles ties and fights the existing order,Only whether the textbook name is merge sort,Converting to a linked list first for locality,Inserting into a Bloom filter then iterating it,A
Data Structures & Algorithms,senior,"In data structures and algorithms, you need a set-membership check in a scraper: 'have I already queued this URL?' Memory is tight, duplicates are annoying but not fatal. Structure?",Bloom filter (accept some extra fetches) — a hash set of all URLs may not fit; a tree of URLs is even heavier,A heap of URLs ordered by length,DFS stack as the only store,Union-find on characters of the URL,A
Data Structures & Algorithms,senior,"In data structures and algorithms, you need the smallest k items from a huge stream. Why a size-k heap instead of sorting everything?",Heap of k gives O(n log k) extra memory O(k); full sort is O(n log n) and needs the whole set.,Sorting is O(n) and always better.,Heaps cannot compare items that arrive over a stream.,You must store all n items in the heap anyway.,A
Data Structures & Algorithms,senior,"In data structures and algorithms, you store a graph as adjacency lists of linked nodes, then BFS a high-degree vertex. Hardware issue?",The neighbor list itself pointer-chases; a compact CSR/adjacency array scans neighbors in cache-line bursts and BFS gets faster without changing the algorithm,BFS is impossible without linked lists,DFS requires arrays; BFS requires lists,Union-find will pack the lists,A
DynamoDB,senior,"In DynamoDB, a GSI has a partition key with much lower cardinality than the base table. Traffic looks fine on the table and throttles on the GSI. Why?","GSIs share the base table's partitions, so this cannot happen.",Each GSI is its own partitioned table with its own hot-key limits; a low-cardinality GSI key concentrates writes.,"GSIs are eventually consistent, which is reported as throttling.",You must provision GSIs in RCUs only; WCUs do not apply.,B
DynamoDB,senior,"In DynamoDB, a GSI uses email as its partition key. Some emails are extremely popular write targets. What happens?",Only the base table can throttle; GSIs share infinite capacity,The GSI can hot-partition and backpressure base-table writes that must update that index,DynamoDB silently drops GSI updates,Email keys are automatically sharded,B
DynamoDB,senior,"In DynamoDB, a Query without a partition key is invalid because:",Query is just a slower Scan,"Query is defined as 'read this partition (and maybe a sort-key slice)', not 'search the table'",Partition keys are optional on tables,Query only works on GSIs,B
DynamoDB,senior,"In DynamoDB, a reporting job Scans nightly 'because it is off-peak'. Why can this still hurt production?",Scans take a global lock,Scan still consumes read capacity and can steal throughput from live partitions if not isolated (separate table/export/on-demand job design),Scans convert the table to provisioned,Nightly jobs cannot use IAM,B
DynamoDB,senior,"In DynamoDB, a session blob is approaching a few hundred KB and is read on every API call. Best modeling move?",Keep growing the item; 400KB is a soft guideline,"Move the blob to object storage and keep a pointer plus small, frequently read fields in DynamoDB",Store the blob as the partition key,Use Scan to fetch only one attribute,B
DynamoDB,senior,"In DynamoDB, condition checks (optimistic locking with a version attribute) exist because:",PutItem always appends,Two writers can overwrite the same item; you need a predicate so the second write fails instead of clobbering,GSIs cannot update,Strongly consistent reads lock the item,B
DynamoDB,senior,"In DynamoDB, each order item also updates two GSIs. Under a write-heavy workload this matters because:",GSIs are read-only,"Every base write fans out extra index writes, so write amplification and index hot keys become the limiter",GSIs batch all writes into one WCU,Index writes are free if the table is on-demand,B
DynamoDB,senior,"In DynamoDB, item size is approaching hundreds of KB with a frequently updated counter inside the same item. What modeling pressure are you ignoring?",There is no write amplification; DynamoDB patches one attribute in place.,A write rewrites the whole item; fat items plus hot attributes waste WCU and increase conflict/latency. Split immutable blob from the hot counter.,Counters must live in S3 because DynamoDB cannot increment.,Large items are automatically offloaded to S3 by the SDK.,B
DynamoDB,senior,"In DynamoDB, projecting ALL attributes into a GSI is convenient. The downside is:",Queries become strongly consistent,"Index storage and write cost track the full item, so fat items make the GSI expensive and slower to update",You can no longer Query the GSI,The 400KB limit disappears,B
DynamoDB,senior,"In DynamoDB, provisioned capacity is set high at the table, but one partition key still throttles. What is the lesson?",Table-level capacity is not a guarantee for a single hot key,Throttling always means the account is out of quota,You must switch to Scan,Strongly consistent reads ignore throttling,A
DynamoDB,senior,"In DynamoDB, sparse GSIs (only items that have the index keys) are useful because:",They make every item strongly consistent,They keep the index small and aligned to a real access path instead of indexing the whole table,They disable throttling,They allow items larger than 400KB,B
DynamoDB,senior,"In DynamoDB, steady 5k QPS all day vs a flash-sale spike to 80k for 20 minutes. Capacity modes?",Both must be provisioned at 80k,Steady load often fits provisioned; the flash-sale shape is why on-demand (or a big scale-up plan) exists,On-demand cannot handle 80k,Provisioned ignores partition keys during spikes,B
